date,section_id,domestic,industrial,agricultural,ecological,transfer
201912,Zhuozishan,6.43,4.82,0,0.34,0
202001,Zhuozishan,6.51,5.89,0,0.16,0
202002,Zhuozishan,6.51,5.89,48.92,0.16,0
202003,Zhuozishan,6.51,5.89,0,0.16,0
202004,Zhuozishan,6.51,5.89,48.92,0.16,0
202005,Zhuozishan,6.51,5.89,0,0.16,0
202006,Zhuozishan,6.51,5.89,97.84,0.16,0
202007,Zhuozishan,6.51,5.89,0,0.16,0
202008,Zhuozishan,6.51,5.89,97.84,0.16,0
202009,Zhuozishan,6.51,5.89,0,0.16,0
202010,Zhuozishan,6.51,5.89,97.84,0.16,0
202011,Zhuozishan,6.51,5.89,0,0.16,0
202012,Zhuozishan,6.51,5.89,0,0.16,0
202101,Zhuozishan,2.85,10.89,0,0.52,0
202102,Zhuozishan,2.85,10.89,44.13,0.52,0
202103,Zhuozishan,2.85,10.89,0,0.52,0
202104,Zhuozishan,2.85,10.89,44.13,0.52,0
202105,Zhuozishan,2.85,10.89,0,0.52,0
202106,Zhuozishan,2.85,10.89,88.28,0.52,0
202107,Zhuozishan,2.85,10.89,0,0.52,0
202108,Zhuozishan,2.85,10.89,88.28,0.52,0
202109,Zhuozishan,2.85,10.89,0,0.52,0
202110,Zhuozishan,2.85,10.89,88.28,0.52,0
202111,Zhuozishan,2.85,10.89,0,0.52,0
202112,Zhuozishan,2.85,10.89,0,0.52,0
201301,Sanliang,304.5,333.85,0,168.16,0
201302,Sanliang,304.5,333.85,1480.1,168.16,0
201303,Sanliang,304.5,333.85,239.205,168.16,0
201304,Sanliang,304.5,333.85,1240.895,168.16,0
201305,Sanliang,304.5,333.85,858.6,168.16,0
201306,Sanliang,304.5,333.85,1815.42,168.16,0
201307,Sanliang,304.5,333.85,858.6,168.16,0
201308,Sanliang,304.5,333.85,1815.42,168.16,0
201309,Sanliang,304.5,333.85,858.6,168.16,0
201310,Sanliang,304.5,333.85,1815.42,168.16,0
201311,Sanliang,304.5,333.85,858.6,168.16,0
201312,Sanliang,304.5,333.85,0,168.16,0
201401,Sanliang,351.7,249.57,0,108.78,0
201402,Sanliang,351.7,249.57,1518.35,108.78,0
201403,Sanliang,351.7,249.57,245.38,108.78,0
201404,Sanliang,351.7,249.57,1272.97,108.78,0
201405,Sanliang,351.7,249.57,880.79,108.78,0
201406,Sanliang,351.7,249.57,1862.32,108.78,0
201407,Sanliang,351.7,249.57,880.79,108.78,0
201408,Sanliang,351.7,249.57,1862.32,108.78,0
201409,Sanliang,351.7,249.57,880.79,108.78,0
201410,Sanliang,351.7,249.57,1862.32,108.78,0
201411,Sanliang,351.7,249.57,880.79,108.78,0
201412,Sanliang,351.7,249.57,0,108.78,0
201501,Sanliang,354.16,223.08,0,146.77,0
201502,Sanliang,354.16,223.08,1832.32,146.77,0
201503,Sanliang,354.16,223.08,297.35,146.77,0
201504,Sanliang,354.16,223.08,1534.97,146.77,0
201505,Sanliang,354.16,223.08,1060.81,146.77,0
201506,Sanliang,354.16,223.08,2250.21,146.77,0
201507,Sanliang,354.16,223.08,1060.81,146.77,0
201508,Sanliang,354.16,223.08,2250.21,146.77,0
201509,Sanliang,354.16,223.08,1060.81,146.77,0
201510,Sanliang,354.16,223.08,2250.21,146.77,0
201511,Sanliang,354.16,223.08,1060.81,146.77,0
201512,Sanliang,354.16,223.08,0,146.77,0
201601,Sanliang,374.19,247.62,0,262.46,0
201602,Sanliang,374.19,247.62,1770.06,262.46,0
201603,Sanliang,374.19,247.62,252.18,262.46,0
201604,Sanliang,374.19,247.62,1517.88,262.46,0
201605,Sanliang,374.19,247.62,1084.89,262.46,0
201606,Sanliang,374.19,247.62,2093.65,262.46,0
201607,Sanliang,374.19,247.62,1084.89,262.46,0
201608,Sanliang,374.19,247.62,2093.65,262.46,0
201609,Sanliang,374.19,247.62,1084.89,262.46,0
201610,Sanliang,374.19,247.62,2093.65,262.46,0
201611,Sanliang,374.19,247.62,1084.89,262.46,0
201612,Sanliang,374.19,247.62,0,262.46,0
201701,Sanliang,399.64,214.74,0,230.22,0
201702,Sanliang,399.64,214.74,1819.12,230.22,0
201703,Sanliang,399.64,214.74,253.585,230.22,0
201704,Sanliang,399.64,214.74,1565.535,230.22,0
201705,Sanliang,399.64,214.74,1124.51,230.22,0
201706,Sanliang,399.64,214.74,2138.85,230.22,0
201707,Sanliang,399.64,214.74,1124.51,230.22,0
201708,Sanliang,399.64,214.74,2138.85,230.22,0
201709,Sanliang,399.64,214.74,1124.51,230.22,0
201710,Sanliang,399.64,214.74,2138.85,230.22,0
201711,Sanliang,399.64,214.74,1124.51,230.22,0
201712,Sanliang,399.64,214.74,0,230.22,0
201801,Sanliang,80.09925829,209.93,0,287.49,0
201802,Sanliang,80.09925829,209.93,1676.4,287.49,0
201803,Sanliang,80.09925829,209.93,272.05,287.49,0
201804,Sanliang,80.09925829,209.93,1404.35,287.49,0
201805,Sanliang,80.09925829,209.93,970.54,287.49,0
201806,Sanliang,80.09925829,209.93,2058.73,287.49,0
201807,Sanliang,80.09925829,209.93,970.54,287.49,0
201808,Sanliang,80.09925829,209.93,2058.73,287.49,0
201809,Sanliang,80.09925829,209.93,970.54,287.49,0
201810,Sanliang,80.09925829,209.93,2058.73,287.49,0
201811,Sanliang,80.09925829,209.93,970.54,287.49,0
201812,Sanliang,80.09925829,209.93,0,287.49,0
201901,Sanliang,465.15,200.18,0,383.88,0
201902,Sanliang,465.15,200.18,1556.53,383.88,0
201903,Sanliang,465.15,200.18,252.595,383.88,0
201904,Sanliang,465.15,200.18,1303.935,383.88,0
201905,Sanliang,465.15,200.18,901.15,383.88,0
201906,Sanliang,465.15,200.18,1911.55,383.88,0
201907,Sanliang,465.15,200.18,901.15,383.88,0
201908,Sanliang,465.15,200.18,1911.55,383.88,0
201909,Sanliang,465.15,200.18,901.15,383.88,0
201910,Sanliang,465.15,200.18,1911.55,383.88,0
201911,Sanliang,465.15,200.18,901.15,383.88,0
201912,Sanliang,465.15,200.18,0,383.88,0
202001,Sanliang,562.13,211.98,0,329.51,0
202002,Sanliang,562.13,211.98,1376.31,329.51,0
202003,Sanliang,562.13,211.98,230.015,329.51,0
202004,Sanliang,562.13,211.98,1146.295,329.51,0
202005,Sanliang,562.13,211.98,785.41,329.51,0
202006,Sanliang,562.13,211.98,1705.45,329.51,0
202007,Sanliang,562.13,211.98,785.41,329.51,0
202008,Sanliang,562.13,211.98,1705.45,329.51,0
202009,Sanliang,562.13,211.98,785.41,329.51,0
202010,Sanliang,562.13,211.98,1705.45,329.51,0
202011,Sanliang,562.13,211.98,785.41,329.51,0
202012,Sanliang,562.13,211.98,0,329.51,0
202101,Sanliang,519.69,200.91,0,241.47,0
202102,Sanliang,519.69,200.91,1477.82,241.47,0
202103,Sanliang,519.69,200.91,239.82,241.47,0
202104,Sanliang,519.69,200.91,1238,241.47,0
202105,Sanliang,519.69,200.91,855.56,241.47,0
202106,Sanliang,519.69,200.91,1814.84,241.47,0
202107,Sanliang,519.69,200.91,855.56,241.47,0
202108,Sanliang,519.69,200.91,1814.84,241.47,0
202109,Sanliang,519.69,200.91,855.56,241.47,0
202110,Sanliang,519.69,200.91,1814.84,241.47,0
202111,Sanliang,519.69,200.91,855.56,241.47,0
202112,Sanliang,519.69,200.91,0,241.47,0
